Ação;Empresa;ROTanC;ROInvC;RPL;ROA;Margem Líquida;Margem Bruta;Margem EBIT;Giro do Ativo Inicial;Alavancagem Financeira;Passivo/Patrimônio Líquido;Preço/Lucro;Preço/VPA;Preço/Receita Líquida;Preço/FCO;Preço/FCF;Preço/EBIT;Preço/NCAV;Preço/Ativo Total;Preço/Capital Giro;EV/EBIT;EV/EBITDA;EV/Receita Líquida;EV/FCF;EV/FCO;EV/Ativo Total;Dividend Yield
MDIA3;M.DIASBRANCO;0,12;0,09;0,14;0,08;0,09;0,36;0,11;0,88;1,67;0,67;9,03;1,10;0,83;4,48;5,24;7,53;-5,29;0,66;2,38;7,58;5,74;0,84;5,27;4,51;0,66;0,03
AZZA3;AZZAS 2154;0,14;0,10;0,16;0,08;0,09;0,53;0,11;0,94;1,96;0,96;19,32;2,76;1,65;18,98;37,11;14,88;-4,08;1,41;9,87;16,92;11,91;1,88;42,19;21,57;1,60;0,04
SOJA3;BOA SAFRA;0,11;0,13;0,37;0,14;0,15;0,15;0,12;0,93;2,47;1,47;5,43;1,26;0,82;34,82;-12,35;6,91;-2,15;0,51;1,43;9,24;8,64;1,10;-16,50;46,53;0,68;0,08
CSNA3;SID NACIONAL;0,08;0,08;-0,04;-0,01;-0,02;0,27;0,13;0,52;6,65;5,65;-22,30;1,10;0,35;2,13;6,50;2,73;-0,21;0,17;2,17;8,97;5,49;1,16;21,33;7,00;0,54;0,13
KRSA3;KORA SAUDE;0,09;0,06;-0,11;-0,03;-0,05;0,20;0,13;0,48;5,10;4,10;-2,96;0,38;0,16;2,60;5,50;1,16;-0,11;0,07;0,66;9,59;6,23;1,28;45,46;21,50;0,62;0,00
ESPA3;ESPACOLASER;0,11;0,06;-0,01;-0,01;-0,01;0,38;0,14;0,45;2,56;1,56;-27,67;0,40;0,34;4,08;4,91;2,37;-0,36;0,16;0,91;7,04;4,39;1,00;14,56;12,09;0,47;0,00
TGMA3;TEGMA;0,30;0,24;0,26;0,18;0,12;0,20;0,15;1,54;1,43;0,43;8,69;2,03;1,04;8,30;9,97;6,77;23,93;1,42;3,96;6,36;5,82;0,97;9,37;7,80;1,34;0,09
VIVA3;VIVARA S.A.;0,15;0,18;0,26;0,16;0,20;0,69;0,23;0,79;1,58;0,58;13,65;2,93;2,73;14,81;21,03;11,78;40,33;1,85;4,47;11,71;9,17;2,71;20,90;14,71;1,84;0,01
SRNA3;SERENA;0,07;0,07;0,06;0,02;0,09;0,35;0,42;0,19;3,64;2,64;18,92;1,00;1,62;12,93;-5,75;3,81;-0,36;0,28;-5,93;12,15;8,51;5,16;-18,38;41,29;0,88;0,00
B3SA3;B3;0,34;0,12;0,20;0,09;0,41;0,90;0,54;0,22;2,43;1,43;13,91;3,04;5,72;9,80;9,92;10,63;-2,85;1,25;8,40;12,53;10,71;6,74;11,69;11,55;1,48;0,04
